group_pair,diff,lwr,upr,p.adj
ethanol:het-control:het,-0.24999999999999944,-0.3826114100370651,-0.11738858996293375,2.0313483504508234e-5
control:mut-control:het,-0.22083333333333321,-0.4135132450373348,-0.028153421629331654,0.01649963496989182
ethanol:mut-control:het,-0.46916666666666607,-0.6157740966709717,-0.3225592366623604,7.999712003936565e-11
control:wt-control:het,0.18613636363636354,0.0661848299964771,0.30608789727624997,4.828587661304118e-4
ethanol:wt-control:het,-0.19083333333333252,-0.3835132450373341,0.0018465783706690386,0.05354543687320534
control:mut-ethanol:het,0.02916666666666623,-0.17816754919008704,0.2365008825234195,0.998198031099407
ethanol:mut-ethanol:het,-0.21916666666666662,-0.3845621539785649,-0.05377117935476833,0.003708047402147363
control:wt-ethanol:het,0.436136363636363,0.29383281795589256,0.5784399093168334,2.6841728839599455e-10
ethanol:wt-ethanol:het,0.05916666666666692,-0.14816754919008635,0.2665008825234202,0.95536200427139
ethanol:mut-control:mut,-0.24833333333333285,-0.4648868591078706,-0.031779807558795115,0.016416040412130406
control:wt-control:mut,0.40696969696969676,0.2074952339036772,0.6064441600357163,4.515559618334386e-6
ethanol:wt-control:mut,0.030000000000000693,-0.22005447279978313,0.2800544727997845,0.9991625985411344
control:wt-ethanol:mut,0.6553030303030296,0.49987378088811946,0.8107322797179397,8.406608742461685e-13
ethanol:wt-ethanol:mut,0.27833333333333354,0.06177980755879581,0.4948868591078713,0.0052239510357003915
ethanol:wt-control:wt,-0.37696969696969607,-0.5764441600357156,-0.1774952339036765,1.942848680391851e-5
